txn_id,account_id,txn_date,txn_type,amount,channel
T000001,A00410,9/7/2025,Debit,50062.88,IMPS
T000002,A00770,6/7/2025,Debit,87836.53,UPI
T000003,A00452,1/6/2024,Debit,109380.18,UPI
T000004,A00151,8/4/2024,Debit,448757.06,IMPS
T000005,A00965,10/22/2023,Debit,177962.09,ATM
T000006,A01199,12/15/2023,Debit,408717.1,UPI
T000007,A00993,3/19/2024,Credit,254587,NEFT
T000008,A00112,11/1/2023,Credit,91783.61,NEFT
T000009,A00893,6/23/2025,Debit,286063.55,IMPS
T000010,A00297,8/4/2024,Credit,242744.52,NEFT
T000011,A00443,4/6/2024,Debit,423731.11,NEFT
T000012,A00932,11/11/2023,Credit,212294.33,IMPS
T000013,A00365,3/23/2024,Debit,280729.29,IMPS
T000014,A00794,5/19/2024,Debit,451218.69,IMPS
T000015,A00765,7/4/2025,Credit,310627.22,UPI
T000016,A00280,4/28/2024,Credit,491961.55,ATM
T000017,A00938,5/2/2024,Credit,415712.63,NEFT
T000018,A00398,2/14/2024,Debit,145271.37,ATM
T000019,A00735,2/28/2025,Debit,481568.22,IMPS
T000020,A00553,3/29/2025,Credit,58002.7,ATM
T000021,A00415,12/2/2024,Credit,152072.7,ATM
T000022,A00688,4/12/2025,Credit,277309.91,IMPS
T000023,A00261,11/23/2024,Debit,396926.3,UPI
T000024,A00066,4/5/2024,Debit,492574.93,ATM
T000025,A01165,11/3/2023,Debit,390143.61,Branch
T000026,A00123,7/23/2025,Credit,171370.38,IMPS
T000027,A00575,6/17/2024,Debit,118789.09,ATM
T000028,A00280,3/3/2025,Debit,431430.56,NEFT
T000029,A00228,5/13/2025,Credit,456370.87,IMPS
T000030,A00954,9/11/2024,Debit,368355.39,NEFT
T000031,A00940,6/17/2025,Debit,264351.12,IMPS
T000032,A00857,10/26/2023,Credit,203787.88,Branch
T000033,A00351,9/13/2024,Debit,106059.18,UPI
T000034,A00704,10/14/2023,Debit,322603.27,IMPS
T000035,A00451,12/2/2024,Credit,307292.82,ATM
T000036,A00605,5/22/2024,Credit,62156.15,UPI
T000037,A00322,2/28/2025,Credit,51327.12,ATM
T000038,A00349,2/17/2024,Credit,185344.36,IMPS
T000039,A01184,12/6/2023,Debit,345584.78,NEFT
T000040,A01133,5/18/2024,Debit,9125.28,NEFT
T000041,A00471,8/21/2025,Credit,411146.21,UPI
T000042,A00178,6/20/2024,Debit,253749,Branch
T000043,A00844,12/15/2024,Debit,496595.93,ATM
T000044,A01069,12/14/2024,Credit,290463.73,UPI
T000045,A01002,8/30/2024,Credit,32513.48,IMPS
T000046,A00444,12/15/2024,Debit,144745.87,NEFT
T000047,A00970,9/23/2023,Debit,287086.34,ATM
T000048,A00948,9/10/2024,Credit,467487.3,NEFT
T000049,A00572,6/27/2024,Credit,357354.92,Branch
T000050,A00030,5/13/2025,Debit,226608.66,NEFT
T000051,A00877,8/2/2024,Debit,127696.48,IMPS
T000052,A00506,12/15/2023,Credit,403681.69,UPI
T000053,A00508,11/29/2024,Credit,201487.25,IMPS
T000054,A00671,1/15/2024,Credit,298965.4,ATM
T000055,A00890,1/3/2025,Debit,286436.41,UPI
T000056,A01187,6/12/2024,Credit,471301.22,Branch
T000057,A00456,5/17/2024,Debit,210426.89,UPI
T000058,A00306,11/29/2024,Debit,312279.5,NEFT
T000059,A01175,10/12/2024,Debit,404054.22,NEFT
T000060,A00011,1/7/2024,Credit,434803.04,IMPS
T000061,A00856,2/22/2024,Debit,328419.92,Branch
T000062,A00091,7/12/2024,Debit,415158.06,IMPS
T000063,A00083,11/8/2024,Credit,320910.48,UPI
T000064,A00964,1/25/2024,Debit,379771.37,IMPS
T000065,A01033,9/17/2024,Debit,373034.9,UPI
T000066,A00069,2/22/2024,Credit,337986.72,Branch
T000067,A00872,9/28/2024,Debit,380566.09,Branch
T000068,A01088,3/11/2025,Credit,427115.66,NEFT
T000069,A00808,8/8/2024,Debit,44918.38,ATM
T000070,A00982,4/1/2025,Credit,261153.99,IMPS
T000071,A00201,5/14/2025,Debit,72676.01,IMPS
T000072,A00927,1/14/2024,Credit,391787.03,IMPS
T000073,A01015,6/7/2024,Debit,289681.86,NEFT
T000074,A00493,1/21/2025,Debit,318424.83,UPI
T000075,A00171,1/21/2025,Debit,284423.72,ATM
T000076,A01144,8/6/2024,Credit,73551.23,IMPS
T000077,A00026,7/11/2025,Debit,282713.4,IMPS
T000078,A00833,1/26/2025,Credit,147274.31,UPI
T000079,A00447,9/8/2024,Credit,386172.52,UPI
T000080,A00272,2/4/2025,Credit,443680.47,IMPS
T000081,A00735,1/14/2024,Credit,284783.82,ATM
T000082,A00606,4/17/2025,Debit,396170.05,UPI
T000083,A00490,5/28/2025,Debit,428431.63,NEFT
T000084,A00186,3/7/2024,Debit,476648.91,UPI
T000085,A00033,11/8/2024,Debit,445280.78,Branch
T000086,A00983,8/13/2024,Debit,54266.6,IMPS
T000087,A00625,7/10/2024,Credit,419609.27,IMPS
T000088,A00332,3/7/2024,Debit,403558,IMPS
T000089,A00941,7/27/2025,Credit,111591.65,UPI
T000090,A01169,10/26/2024,Debit,390286,NEFT
T000091,A01196,5/5/2025,Credit,388156.76,Branch
T000092,A00050,10/17/2024,Credit,214994.31,UPI
T000093,A00932,11/8/2023,Debit,282001.18,UPI
T000094,A00950,1/15/2024,Credit,480317.95,Branch
T000095,A00284,11/9/2023,Credit,27480.78,IMPS
T000096,A00831,10/6/2024,Debit,311146.71,Branch
T000097,A00379,4/28/2024,Debit,11578.04,IMPS
T000098,A00759,3/13/2024,Credit,278998.48,Branch
T000099,A00951,9/26/2024,Debit,77584.91,ATM
T000100,A00003,8/17/2024,Credit,320155.71,IMPS
T000101,A00145,8/23/2024,Credit,228645.03,ATM
T000102,A00789,6/21/2024,Debit,208910.06,NEFT
T000103,A00682,3/28/2025,Credit,445814.59,Branch
T000104,A01088,6/9/2025,Credit,321003.78,Branch
T000105,A00067,4/2/2025,Debit,87039.92,IMPS
T000106,A00608,4/30/2024,Debit,108031.84,Branch
T000107,A00873,6/15/2024,Debit,280873.66,UPI
T000108,A00553,9/13/2025,Debit,497346.47,UPI
T000109,A01111,2/16/2024,Debit,114132.37,ATM
T000110,A01179,6/7/2024,Debit,303404.86,NEFT
T000111,A00425,12/8/2024,Credit,162956.47,NEFT
T000112,A00166,8/8/2024,Debit,331305.41,UPI
T000113,A00688,5/30/2024,Debit,453939.22,NEFT
T000114,A00113,12/9/2024,Debit,325129.77,ATM
T000115,A01055,1/2/2025,Debit,449271.1,NEFT
T000116,A00746,5/26/2024,Debit,260152.24,ATM
T000117,A00106,6/16/2024,Debit,328663.86,Branch
T000118,A00228,10/30/2023,Debit,280620.53,Branch
T000119,A00785,12/11/2023,Credit,8847.89,UPI
T000120,A00749,7/1/2025,Debit,409404.62,IMPS
T000121,A00954,11/14/2023,Credit,142422.24,UPI
T000122,A00084,6/9/2024,Debit,1635.81,Branch
T000123,A00749,5/24/2024,Credit,172406.98,IMPS
T000124,A00751,6/19/2025,Credit,203795.34,ATM
T000125,A00359,5/26/2025,Debit,331825.08,NEFT
T000126,A01145,12/3/2023,Credit,490800.87,Branch
T000127,A00138,6/21/2025,Debit,451134.03,IMPS
T000128,A01149,6/12/2024,Credit,283177.29,IMPS
T000129,A00420,4/29/2025,Credit,217130.69,NEFT
T000130,A00284,11/9/2024,Debit,15066.95,ATM
T000131,A00686,10/9/2023,Debit,402312.17,NEFT
T000132,A00489,5/2/2025,Debit,392059.62,UPI
T000133,A01106,6/9/2025,Credit,203174.84,NEFT
T000134,A00233,8/1/2024,Debit,381576.32,IMPS
T000135,A00980,11/29/2023,Credit,272295.76,IMPS
T000136,A01189,7/1/2025,Credit,73391.47,ATM
T000137,A00430,12/5/2024,Debit,330493.21,IMPS
T000138,A00462,12/8/2024,Credit,46839.35,Branch
T000139,A00657,5/11/2025,Credit,275351.91,Branch
T000140,A00723,9/30/2023,Credit,286499.35,IMPS
T000141,A00548,1/6/2025,Credit,172424.24,IMPS
T000142,A01032,6/9/2024,Debit,315213.38,NEFT
T000143,A00867,8/12/2024,Credit,461738.36,NEFT
T000144,A00568,12/4/2023,Credit,108394.39,NEFT
T000145,A00112,6/21/2025,Debit,280940.85,UPI
T000146,A00130,2/12/2025,Debit,404390.2,IMPS
T000147,A00764,10/3/2023,Credit,49216.56,ATM
T000148,A00708,7/29/2025,Credit,415324.03,Branch
T000149,A00927,3/20/2024,Credit,441155.21,ATM
